title,artist,nationality,date,medium,classification,department,object_id,url,image_url
Folio 27 from Vzorval' (Explodity),"Natan Al'tman, Natalia Goncharova, Nikolai Kul'bin, Kazimir Malevich, Olga Rozanova, Various Artists",(Russian) (Russian) (Russian) (Russian) (Russian) (Russian),1913,"Lithographed manuscript text from a book with 16 lithographs (including cover), lithographed manuscript text, and rubber-stamped text",Illustrated Book,Drawings & Prints,285230,https://www.moma.org/collection/works/285230,정보없음
Untitled (11),Richard Hawkins,(American),1995,Cut-and-taped printed paper with felt-tip pen and pencil on printed paper,Drawing,Drawings & Prints,96115,https://www.moma.org/collection/works/96115,https://www.moma.org/media/W1siZiIsIjExNTc3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9ec8aebaec3b1ef1
Steam from Earth Projects,Robert Morris,(American),1969,One from a portfolio of ten lithographs,Print,Drawings & Prints,62427,https://www.moma.org/collection/works/62427,https://www.moma.org/media/W1siZiIsIjI2MDEyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=acae866761a6463a
Big Head,ShadowMachine,(American),2019,"polyurethane resin, polyurethane foam",(not assigned),Film,431951,정보없음,정보없음
Plate (facing page 57) from POÈMES,Maurice Denis,(French),1936-1942,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,23998,정보없음,정보없음
"IIT Commons Building, Chicago, IL (Interior details. Plans, elevations, sections.)",Ludwig Mies van der Rohe,(American),1952—1953,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,459622,정보없음,정보없음
"Torne toy... (Turn...) (plate, folio 12) from Psaumes pénitentiels de David (David's Penitential Psalms)",Alain de La Bourdonnaye,(French),1956,"Collagraph and aquatint from an illustrated book with ten collagraph and aquatints, one collagraph and etching, and collagraph cover",Illustrated Book,Drawings & Prints,21940,https://www.moma.org/collection/works/21940,https://www.moma.org/media/W1siZiIsIjI4MDIwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=735c45cd4cfbe856
"Seagram Building, New York City, NY (Plan, elevations, and sections of Stl. platform and steps, lower level machine room of roof bulkhead.)",Ludwig Mies van der Rohe,(American),1954—1958,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,465247,정보없음,정보없음
"Study for Fruit Bowl (with Apple), project (Aerial perspective)",Ettore Sottsass,(Italian),1973,Graphite and self-adhesive letters on paper,Architecture,Architecture & Design,924,https://www.moma.org/collection/works/924,https://www.moma.org/media/W1siZiIsIjIxMjI2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=be42ef4d8f1b37ec
Schema (65),Terry Winters,(American),(1985-86),Watercolor and pencil on paper,Drawing,Drawings & Prints,35432,https://www.moma.org/collection/works/35432,https://www.moma.org/media/W1siZiIsIjIxMDgwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=945b7683d01087a6
New Girl. Costume design for the ballet Charade (or The Debutante),Alvin Colt,(American),1939,"Gouache, stapled fabric and feathers, pencil, and stamped colored ink on colored card",Drawing,Drawings & Prints,86113,https://www.moma.org/collection/works/86113,https://www.moma.org/media/W1siZiIsIjQ0NDE3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7f3a4e8a2285ec48
"United Silk-Weaving Mills Factory Building, Krefeld, Germany (Interior stairs perspective.)",Ludwig Mies van der Rohe,(American),1930—1935,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,486817,정보없음,정보없음
"Micro-Hutong, Beijing, China",Zhang Ke,(Chinese),2016,Chromogenic print,Architecture,Architecture & Design,282392,https://www.moma.org/collection/works/282392,https://www.moma.org/media/W1siZiIsIjQyNjgwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b9b0ccc4be5231b3
Untitled,Antonio Dias,(Brazilian),1967,Gouache and colored ink on paper,Drawing,Drawings & Prints,38129,https://www.moma.org/collection/works/38129,https://www.moma.org/media/W1siZiIsIjMyMjQ0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7894db41b06e0af9
"Preliminary folio embellished with drawing (dedication, 4th folio before numbered pages) from LES ÂMES MORTES",Marc Chagall,(French),(1949),"Pen and ink, and pastel",Illustrated Book,Drawings & Prints,22494,정보없음,정보없음
"Page from Sketchbook #14, Paris",Ellsworth Kelly,(American),1950,Page from a spiral-bound sketchbook with pencil on paper,Notebook,Drawings & Prints,440021,정보없음,정보없음
"Plate 8 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),1995,"Engraving and photogravure, with hand additions",Print,Drawings & Prints,150827,정보없음,정보없음
"IITRI Minerals and Metals Research Building, Chicago, IL (Exterior elevation.)",Ludwig Mies van der Rohe,(American),1942—1943,Pencil and colored pencil on paper,Mies van der Rohe Archive,Architecture & Design,454451,정보없음,정보없음
Plate (folio 11) from Vzorval' (Explodity),Olga Rozanova,(Russian),1913,"Lithograph from a book with 16 lithographs (including cover), lithographed manuscript text, and rubber-stamped text",Illustrated Book,Drawings & Prints,285214,https://www.moma.org/collection/works/285214,https://www.moma.org/media/W1siZiIsIjU2NDE5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=287d1bee4e1cd1be
Arborum Dinarii,Karl Kasten,(American),1968,Lithograph,Print,Drawings & Prints,75565,https://www.moma.org/collection/works/75565,https://www.moma.org/media/W1siZiIsIjU1MjM4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e12bc7ead0846a99
"Paul Robeson in ""Emperor Jones""",Edward Steichen,(American),1933,Gelatin silver print,Photograph,Photography,57272,https://www.moma.org/collection/works/57272,https://www.moma.org/media/W1siZiIsIjI0MDIyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9c515c962b99a0e2
"Cleveland, Ohio",Lee Friedlander,(American),1979-80,Gelatin silver print,Photograph,Photography,57396,https://www.moma.org/collection/works/57396,https://www.moma.org/media/W1siZiIsIjQ2Mzk2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3ba48d4fa4780146
"IITRI Engineering Research Building, Chicago, IL (Detail. Exterior perspective. Sketch.)",Ludwig Mies van der Rohe,(American),1944—1952,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,454647,정보없음,정보없음
"Meredith Memorial Hall, Drake University, Des Moines, IA (Concrete details. 1st-floor framing. Sections.)",Ludwig Mies van der Rohe,(American),1962—1965,Pencil on acetate,Mies van der Rohe Archive,Architecture & Design,469186,정보없음,정보없음
Four Teyashim (Four Billygoats) by Ben Zion Raskin,El Lissitzky,(Russian),1919,Letterpress,Design,Architecture & Design,7542,https://www.moma.org/collection/works/7542,https://www.moma.org/media/W1siZiIsIjUyMDQxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b4949fb0e7709868
"Tucson, Arizona",Lee Friedlander,(American),1981,Gelatin silver print,Photograph,Photography,55507,https://www.moma.org/collection/works/55507,https://www.moma.org/media/W1siZiIsIjQ2MDAwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bbcc701bddc0ab31
Cleaverette (model 71),Charles D. Briddell,(American),c. 1944-47,Plated steel and plastic,Design,Architecture & Design,1935,https://www.moma.org/collection/works/1935,https://www.moma.org/media/W1siZiIsIjIxMDE2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bb2eb8908c4c9936
SoHo SoAp/Rain Damage,Shigeko Kubota,(Japanese),1985,"Video (color, sound)",Video,Media and Performance,120611,https://www.moma.org/collection/works/120611,https://www.moma.org/media/W1siZiIsIjE1MTc4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8fc39933b2bcf2dc
Dedalo Umbrella Stand,Emma Gismondi Schweinberger,(Italian),1966,ABS polymer (ABS marbon cycolac),Design,Architecture & Design,133332,정보없음,정보없음
Untitled,Unidentified photographer,(),c. 1935,Gelatin silver print,Photograph,Photography,141145,https://www.moma.org/collection/works/141145,https://www.moma.org/media/W1siZiIsIjMyMjM5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=494e391b7d4ae285
"La Dehesa, Santiago, Chile",Juan Baixas,(Chilean),1980,Pencil and ink on paper,Architecture,Architecture & Design,184864,https://www.moma.org/collection/works/184864,정보없음
Reclining Chair with and without Arms. Lounge Chair with and without Arms. (Elevation sketches),Ludwig Mies van der Rohe,(American),early 1930s,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,150144,https://www.moma.org/collection/works/150144,https://www.moma.org/media/W1siZiIsIjIyMzQ3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d6e364418cd5a922
Players Dracula Duodecimo,Billy Al Bengston,(American),1968,Lithograph,Print,Drawings & Prints,75334,https://www.moma.org/collection/works/75334,https://www.moma.org/media/W1siZiIsIjE2MTQ0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=838259e4e4e43724
Allegory of Innocence,Joseph Cornell,(American),1956,Cut-and-pasted printed paper on paper on board in wood frame with colored glass,Drawing,Drawings & Prints,37045,https://www.moma.org/collection/works/37045,https://www.moma.org/media/W1siZiIsIjE2NjI5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7e7de5dff4092b0c
"""No!"" says the signified",Shusaku Arakawa,(American),1973,"Portfolio of six lithographs (three with screenprint, two double-sided with offset lithograph, two with acrylic and collage additions)",Print,Drawings & Prints,65189,https://www.moma.org/collection/works/65189,정보없음
"Constantine, Algeria",John B. Greene,(American),1855-56,Salted paper print from a waxed-paper negative,Photograph,Photography,44682,https://www.moma.org/collection/works/44682,https://www.moma.org/media/W1siZiIsIjIwMDQxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a95b18727256f8d8
Tailpiece (page 12) from VISAGES,Henri Matisse,(French),1946,"Linoleum cut, printed in black",Illustrated Book,Drawings & Prints,28379,정보없음,정보없음
Lighting Fixture,Harry Allen,(American),1994,Ceramic and steel,Design,Architecture & Design,129414,https://www.moma.org/collection/works/129414,https://www.moma.org/media/W1siZiIsIjIyODgwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=692ffbdcf6e5edc7
Folio 3 from Mirskontsa (Worldbackwards),Aleksei Kruchenykh,(Russian),1912,"Rubber-stamped text from an illustrated book with twenty-seven lithographs (fifteen with lithographed manuscript text), seven rubber-stamped texts, five lithographed manuscript texts, and collaged cover",Illustrated Book,Drawings & Prints,13418,https://www.moma.org/collection/works/13418,https://www.moma.org/media/W1siZiIsIjQ3MDU5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ca53986a5f33ce8b
Ocean Habitat project,Carolyn Dry,(American),c. 1980,Ink on paper,Architecture,Architecture & Design,436433,https://www.moma.org/collection/works/436433,정보없음
Coming to Jones Road: Under a Blood Red Sky #8 from Femfolio,Faith Ringgold,(American),2009,"Digital print with lithograph from a portfolio of nineteen digital prints (twelve with lithograph, one with pochoir, one with hand coloring, and one with gold dusting) and one lithograph",Print,Drawings & Prints,134569,https://www.moma.org/collection/works/134569,https://www.moma.org/media/W1siZiIsIjE4OTU5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f98691a454d0949a
"Amatshitshi, Driefontein",Sabelo Mlangeni,(South African),2014,Gelatin silver print,Photograph,Photography,471531,https://www.moma.org/collection/works/471531,https://www.moma.org/media/W1siZiIsIjU3MDM2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=aadc89dc62271c6d
Brutal decor (Décor brutal) from the portfolio Scrap Plates I (Planches de rebut I) from Phenomena (Les Phénomènes),Jean Dubuffet,(French),1959,One from a portfolio of eighteen lithographs,Print,Drawings & Prints,143588,정보없음,정보없음
Mr. Mapelli's Garden III,Arnold Bittleman,(American),(1958-60),Pen and ink on paper,Drawing,Drawings & Prints,33161,https://www.moma.org/collection/works/33161,정보없음
Second Illustration for Scene 2 (plate facing page 36) from Der Mensch ist kein Haustier (Man Is Not a Domestic Animal),Max Beckmann,(German),1937,Lithograph from an illustrated book with seven lithographs and two line block reproductions,Illustrated Book,Drawings & Prints,9542,https://www.moma.org/collection/works/9542,https://www.moma.org/media/W1siZiIsIjE0MDA0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8b7d3bec5ebc55fb
Art Is Easy,Giuseppe Chiari,(Italian),1982,Ink on primed canvas,Drawing,Drawings & Prints,135571,https://www.moma.org/collection/works/135571,https://www.moma.org/media/W1siZiIsIjI4ODA5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e6487ff961ba7c67
Untitled,Eugène Atget,(French),1899-1900,Albumen silver print,Photograph,Photography,43814,https://www.moma.org/collection/works/43814,https://www.moma.org/media/W1siZiIsIjI4NjI4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8edecf27865dd3f8
OBSERVATOIRE. VIEUX COUVENT,Eugène Atget,(French),1923,Gelatin silver printing-out-paper print,Photograph,Photography,42179,정보없음,정보없음
Modernist dollhouse furniture,Unidentified Designer,(),1930s,"Painted metal, wire, fabric, and wood",Design,Architecture & Design,152542,https://www.moma.org/collection/works/152542,https://www.moma.org/media/W1siZiIsIjI2MjczNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bc732ac5854499ea
Resurrection (Auferstehung),Lovis Corinth,(German),(1925),Etching,Print,Drawings & Prints,61076,https://www.moma.org/collection/works/61076,https://www.moma.org/media/W1siZiIsIjEyOTMwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=13b74a2c9e940c79
"Esquire Magazine, Issue no. 414, May 1968",George Lois,(American),1968,Offset lithography,Design,Architecture & Design,114812,https://www.moma.org/collection/works/114812,https://www.moma.org/media/W1siZiIsIjE3MTQ0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a9b80a83cafb264a
"The Planet as Festival: Study for Temple for Erotic Dances, project (Aerial perspective and plan)",Ettore Sottsass,(Italian),1972–1973,Graphite and cut-and-pasted gelatin silver print on paper,Architecture,Architecture & Design,923,https://www.moma.org/collection/works/923,https://www.moma.org/media/W1siZiIsIjQwMDA1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=189f02ae3c0296b7
Cash from Chaos/Unicorns and Rainbows,"Patterson Beckwith, Alex Bag",(American) (American),1994-97,"Multi-channel video (color, sound)",Video,Media and Performance,194854,정보없음,정보없음
"Quadrangle Apartment Buildings, Brooklyn, NY (Partial site plan.)",Ludwig Mies van der Rohe,(American),1957—1959,"Pencil, ink (red) on paper",Mies van der Rohe Archive,Architecture & Design,463135,정보없음,정보없음
Grow Your Own Food,Abram Games,(British),1942,Lithograph,Design,Architecture & Design,5531,정보없음,정보없음
"Friedrich Krupp Administration Building and Exhibition Hall, Hugel Park, Essen, Germany (Interior perspective. Sketch.)",Ludwig Mies van der Rohe,(American),1960—1963,Pencil on note paper,Mies van der Rohe Archive,Architecture & Design,468466,정보없음,정보없음
"Resor House project, Jackson Hole, WY (Eckpfeiler [corner column] and Sprosse [crossbar]. Structural details. Sketch.)",Ludwig Mies van der Rohe,(American),1937—1938,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,494511,정보없음,정보없음
Analogue,Zoe Leonard,(American),1998-2009,6 chromogenic prints and 3 gelatin silver prints,Photograph,Photography,171301,https://www.moma.org/collection/works/171301,https://www.moma.org/media/W1siZiIsIjMwOTMwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a10f89a392426dce
"Caricatures by Georges de Zayas: Eight Very Modern Painters, Two Sculptors and a Musician (Caricatures par Georges de Zayas: Huit peintres, deux sculpteurs et un musicien très modernes)",Georges de Zayas,(Mexican),1919,Portfolio of 11 lithographs,Print,Drawings & Prints,61472,https://www.moma.org/collection/works/61472,https://www.moma.org/media/W1siZiIsIjI0MDk3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ba867e39fd6f4a1e
Plate (folio 3) from Book AC,Dieter Roth,(Swiss),"1958-64, published 1964",One from an artist's book of twenty-four die-cuts,Illustrated Book,Drawings & Prints,19053,https://www.moma.org/collection/works/19053,https://www.moma.org/media/W1siZiIsIjI0MTYzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b3d97dbb80644502
Tumblers,Giuseppe Nason,(Italian),1945,Steel-colored crystal,Design,Architecture & Design,2808,https://www.moma.org/collection/works/2808,https://www.moma.org/media/W1siZiIsIjUxNzczMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f24955eea9fbaed5
"Death with a Coffin (Tod mit Sarg) (plate, preceding p. 265) from the periodical Das Kunstblatt, vol. 2, no. 9 (Sep 1918)",Christian Rohlfs,(German),1918 (executed c. 1917),Woodcut,Print,Drawings & Prints,72988,https://www.moma.org/collection/works/72988,https://www.moma.org/media/W1siZiIsIjExNzQzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=66406da427e662c9
"Pollet et Vittet, Chocolaterie de Pepinster",Henri Meunier,(Belgian),c. 1896,Lithograph,Design,Architecture & Design,8982,https://www.moma.org/collection/works/8982,https://www.moma.org/media/W1siZiIsIjIxMjA3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=db8e87e75a299619
Untitled photograph from the Apollo 11 mission,NASA,(American),July 1969,Gelatin silver print,Photograph,Photography,201457,https://www.moma.org/collection/works/201457,https://www.moma.org/media/W1siZiIsIjM0MDkxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=96d0550fad9549d7
"Page from Sketchbook #27, New York City",Ellsworth Kelly,(American),1954-58,"Page from a sketchbook with pencil, ink, felt-tip pen, watercolor, and cut-and-pasted colored and printed paper",Notebook,Drawings & Prints,440513,정보없음,정보없음
Fabric (no. 13308),Marli Ehrman,(American),c. 1940,Woven cotton,Design,Architecture & Design,4519,https://www.moma.org/collection/works/4519,https://www.moma.org/media/W1siZiIsIjIzMDYwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0fec9d9b729b30fa
British World War II Poster,Unknown artist,(),1939-1945,Poster,Design,Architecture & Design,5981,정보없음,정보없음
"Improvisation 5 (headpiece, folio 15 verso) from Klänge (Sounds)",Vasily Kandinsky,(French),(1913),Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,26563,https://www.moma.org/collection/works/26563,https://www.moma.org/media/W1siZiIsIjEyOTQxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=193320d252eccd20
The Grooming of Narcissus,Carlo Alfano,(Italian),1974,"Portfolio of three screenprints, 1 collage",Print,Drawings & Prints,172292,정보없음,정보없음
"Sketchbook: El Golea, II",Jean Dubuffet,(French),1948,Ink on paper,Drawing,Drawings & Prints,85157,https://www.moma.org/collection/works/85157,https://www.moma.org/media/W1siZiIsIjI5MTI4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e0b6f58e3b9e5976
